pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,844.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,841.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,839.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,844.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,839.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,844.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,841.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,839.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,844.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,841.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,839.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,841.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,847.9
