date,predicted_rate,p10,p90
2025-12-01,841.52,819.39,892.52
2025-12-02,841.52,819.39,892.52
2025-12-03,847.9,825.6,899.28
2025-12-04,847.9,825.6,899.28
2025-12-05,844.16,821.96,895.32
2025-12-06,841.59,819.46,892.59
2025-12-07,839.4,817.32,890.27
2025-12-08,841.52,819.39,892.52
2025-12-09,841.52,819.39,892.52
2025-12-10,847.9,825.6,899.28
2025-12-11,847.9,825.6,899.28
2025-12-12,844.16,821.96,895.32
2025-12-13,841.59,819.46,892.59
2025-12-14,839.4,817.32,890.27
2025-12-15,841.52,819.39,892.52
2025-12-16,841.52,819.39,892.52
2025-12-17,847.9,825.6,899.28
2025-12-18,847.9,825.6,899.28
2025-12-19,844.16,821.96,895.32
2025-12-20,841.59,819.46,892.59
2025-12-21,839.4,817.32,890.27
2025-12-22,841.52,819.39,892.52
2025-12-23,841.52,819.39,892.52
2025-12-24,847.9,825.6,899.28
2025-12-25,847.9,825.6,899.28
2025-12-26,844.16,821.96,895.32
2025-12-27,841.59,819.46,892.59
2025-12-28,839.4,817.32,890.27
2025-12-29,841.52,819.39,892.52
2025-12-30,841.52,819.39,892.52
2025-12-31,847.9,825.6,899.28
